Source,Target
1,8762940
1,8762941
1,688136
1,8762942
3,718952
3,3109655
3,562897
3,6
3,7
3,12852
3,90259
3,8762941
3,645510
3,427258
3,45567
3,1374301
3,38253
3,79994
3,16
3,9
3,8762943
3,385294
3,1610056
3,10
3,12
3,11
3,3748
3,13
3,37986
3,8762944
3,17
3,8
3,18
3,9024
3,8762945
3,54566
3,8762946
3,18020
3,8657299
3,39365
3,176509
3,8762947
3,2283
3,1462053
3,8762948
3,14
3,16482
3,124907
3,610145
3,3486871
3,8762949
3,8762950
3,33425
3,1024583
3,8762951
20,31
20,35
20,36
20,28
20,26
20,23
20,27
20,25
20,30
20,29
20,24
20,32
20,34
20,33
20,602588
20,4786851
20,100109
20,37
20,8762946
20,8762941
20,706345
20,38253
20,8762952
20,8762953
20,1875611
20,414291
20,107139
20,194869
20,5667264
20,8762949
20,8762954
20,52828
20,4424962
20,553213
20,1031801
20,8762955
20,986730
20,30122
20,8762956
20,8762957
20,38
20,594574
20,5523423
20,1753562
20,1107159
20,4166455
20,8762958
20,17892
20,1783305
20,5355757
20,17689
20,7140510
20,8654297
20,8762959
20,8762960
20,1623900
20,262491
20,8762961
20,3684826
20,61851
20,2283433
20,8657299
20,1753610
20,8762962
41,8762963
41,8762964
41,2452869
41,9798
41,8762965
41,90
41,1075476
41,451517
41,8762966
41,8762967
41,121974
41,443031
41,66136
41,140
41,8762968
41,175
41,385175
41,672673
41,4457487
41,3142288
41,4689051
41,7371582
41,674744
41,1375554
41,7085955
41,121960
41,237
41,234
41,2102482
41,1040534
41,243
41,245
41,669669
41,255
41,256
41,34610
41,187
41,275
41,260
41,561149
41,8762941
41,547
41,981526
41,54594
41,272
41,675271
41,7496
41,5063595
41,1192294
41,669495
41,1190956
41,1192552
41,8762969
41,2531961
41,895793
41,6857230
41,407880
41,1593181
41,3725538
41,8762970
41,500
41,299
41,294
41,293
41,290
41,284
41,298
41,187567
41,386462
41,159
41,8762971
41,4848187
41,1620322
41,286
41,2398471
41,366
41,361
41,359
41,358
41,342
41,333
